Date;Price
2011-03-30;467000
2011-03-31;469000
2011-04-01;471000
2011-04-04;470000
2011-04-05;471000
2011-04-06;476000
2011-04-07;476000
2011-04-08;476000
2011-04-11;480000
2011-04-12;476000
2011-04-13;476000
2011-04-14;476000
2011-04-15;480000
2011-04-18;483000
2011-04-19;485000
2011-04-20;486000
2011-04-21;487000
2011-04-25;488000
2011-04-25;488000
2011-04-26;485000
2011-04-27;488000
2011-04-28;493000
2011-04-29;495000
2011-05-02;497000
2011-05-03;492000
2011-05-04;490000
2011-05-05;485000
2011-05-06;475000
2011-05-09;480000
2011-05-10;483000
2011-05-11;485000
2011-05-12;482000
2011-05-13;481000
2011-05-16;478000
2011-05-18;478000
2011-05-19;480000
2011-05-20;480000
2011-05-23;485000
2011-05-24;485000
2011-05-25;488000
2011-05-26;489000
2011-05-27;488000
2011-05-30;491000
2011-05-30;491000
2011-05-31;491000
2011-06-01;489000
2011-06-06;491000
2011-06-07;490000
2011-06-08;489000
2011-06-09;488000
2011-06-10;490000
2011-06-13;486000
2011-06-14;484000
2011-06-15;486000
2011-06-16;487000
2011-06-17;489000
2011-06-20;493000
2011-06-21;492000
2011-06-22;494000
2011-06-23;495000
2011-06-24;488000
2011-06-27;483000
2011-06-28;484000
2011-06-30;486000
2011-07-01;483000
2011-07-04;479000
2011-07-05;480000
2011-07-06;484000
2011-07-07;487000
2011-07-08;488000
2011-07-11;491000
2011-07-12;494000
2011-07-13;498000
2011-07-14;505000
2011-07-15;504000
2011-07-18;505000
2011-07-19;509000
2011-07-20;505000
2011-07-21;508000
2011-07-22;505000
2011-07-25;511000
2011-07-26;511000
2011-07-27;512000
2011-07-28;509000
2011-07-29;510000
2011-08-01;510000
2011-08-02;510000
2011-08-03;518000
2011-08-04;522000
2011-08-05;516000
2011-08-05;520000
2011-08-08;530000
2011-08-08;534000
2011-08-09;540000
2011-08-09;548000
2011-08-09;555000
2011-08-10;553000
2011-08-11;563000
2011-08-12;550000
2011-08-15;544000
2011-08-15;547000
2011-08-16;554000
2011-08-18;558000
2011-08-18;560000
2011-08-19;570000
2011-08-19;575000
2011-08-22;585000
2011-08-23;594000
2011-08-24;576000
2011-08-25;552000
2011-08-26;556000
2011-08-30;575000
2011-09-05;590000
2011-09-05;590000
2011-09-07;590000
2011-09-08;577000
2011-09-09;590000
2011-09-12;588000
2011-09-13;578000
2011-09-13;584000
2011-09-14;588000
2011-09-14;594000
2011-09-15;594000
2011-09-16;580000
2011-09-19;596000
2011-09-20;590000
2011-09-21;605000
2011-09-22;595000
2011-09-23;585000
2011-09-26;575000
2011-09-27;575000
2011-09-28;575000
2011-09-29;575000
2011-09-30;575000
2011-10-03;570000
2011-10-04;575000
2011-10-05;572000
2011-10-06;574000
2011-10-07;575000
2011-10-10;575000
2011-10-11;580000
2011-10-12;576000
2011-10-13;580000
2011-10-14;575000
2011-10-17;575000
2011-10-18;571000
2011-10-19;570000
2011-10-20;568000
2011-10-21;565000
2011-10-24;570000
2011-10-25;560000
2011-10-26;570000
2011-10-27;575000
2011-10-28;580000
2011-10-31;573000
2011-11-01;565000
2011-11-02;567000
2011-11-03;572000
2011-11-04;578000
2011-11-07;575000
2011-11-08;584000
2011-11-09;583000
2011-11-10;576000
2011-11-11;573500
2011-11-11;579500
2011-11-14;588000
2011-11-15;580000
2011-11-16;582000
2011-11-17;580000
2011-11-18;572000
2011-11-21;572000
2011-11-22;565000
2011-11-23;570000
2011-11-24;570000
2011-11-25;573000
2011-11-28;573000
2011-11-29;580000
2011-11-30;585000
2011-12-01;587000
2011-12-02;578000
2011-12-05;584000
2011-12-06;572000
2011-12-07;573000
2011-12-08;576000
2011-12-09;570000
2011-12-12;569000
2011-12-13;566000
2011-12-14;562000
2011-12-15;559000
2011-12-16;650000
2011-12-16;560000
2011-12-19;564000
2011-12-20;565000
2011-12-21;569000
2011-12-22;568000
2011-12-23;567000
2011-12-27;563000
2011-12-28;563000
2011-12-29;557000
2011-12-30;555000
2012-01-02;555000
2012-01-03;559000
2012-01-04;565000
2012-01-05;566000
2012-01-06;567000
2012-01-09;565000
2012-01-10;566000
2012-01-11;570000
2012-01-12;571000
2012-01-13;572000
2012-01-16;565000
2012-01-17;566000
2012-01-18;567000
2012-01-19;564000
2012-01-20;559000
2012-01-24;559000
2012-01-25;557000
2012-01-26;571000
2012-01-27;572000
2012-01-30;573000
2012-01-31;570000
2012-02-01;571000
2012-02-02;574000
2012-02-03;569000
2012-02-03;573000
2012-02-06;565000
2012-02-07;564000
2012-02-08;570000
2012-02-09;568000
2012-02-10;566000
2012-02-13;570000
2012-02-14;570000
2012-02-15;570000
2012-02-16;572000
2012-02-17;572000
2012-02-20;576000
2012-02-21;576000
2012-02-22;581000
2012-02-23;588000
2012-02-24;589000
2012-02-27;588000
2012-02-28;588000
2012-02-29;592000
2012-03-01;578000
2012-03-02;579000
2012-03-05;578000
2012-03-06;577000
2012-03-07;573000
2012-03-08;575000
2012-03-09;577000
2012-03-12;578000
2012-03-13;576000
2012-03-14;571000
2012-03-15;567000
2012-03-16;570000
2012-03-19;571000
2012-03-20;571500
2012-03-21;569000
2012-03-22;570000
2012-03-26;573000
2012-03-27;579000
2012-03-28;579000
2012-03-29;576000
2012-03-30;576000
2012-04-02;579000
2012-04-03;579000
2012-04-04;574000
2012-04-05;568000
2012-04-09;574000
2012-04-10;574000
2012-04-11;574000
2012-04-12;575000
2012-04-13;577000
2012-04-16;568000
2012-04-17;567000
2012-04-18;567000
2012-04-19;570000
2012-04-23;564500
2012-04-24;564500
2012-04-25;565000
2012-04-26;565000
2012-04-27;565500
2012-04-30;565000
2012-05-01;563000
2012-05-02;559000
2012-05-03;555000
2012-05-04;554000
2012-05-04;555000
2012-05-07;558000
2012-05-08;558000
2012-05-09;554000
2012-05-10;552000
2012-05-10;554000
2012-05-10;552000
2012-05-11;553000
2012-05-14;553000
2012-05-14;553000
2012-05-15;553000
2012-05-16;549500
2012-05-21;552500
2012-05-21;552500
2012-05-22;552500
2012-05-23;550500
2012-05-24;550500
2012-05-25;550500
2012-05-25;550500
2012-05-28;552000
2012-05-29;555000
2012-05-30;551000
2012-05-31;556000
2012-06-01;555000
2012-06-04;563000
2012-06-05;565000
2012-06-06;565000
2012-06-07;565000
2012-06-08;560000
2012-06-11;565000
2012-06-12;561000
2012-06-13;563000
2012-06-14;564000
2012-06-15;566000
2012-06-18;566000
2012-06-19;567000
2012-06-20;565000
2012-06-21;563000
2012-06-22;557000
2012-06-25;557000
2012-06-26;559000
2012-06-27;558000
2012-06-28;558000
2012-06-29;555000
2012-07-02;562000
2012-07-03;558000
2012-07-04;565000
2012-07-05;560000
2012-07-06;559000
2012-07-09;555000
2012-07-10;556000
2012-07-11;555000
2012-07-12;554000
2012-07-13;551000
2012-07-13;551000
2012-07-16;559000
2012-07-17;559000
2012-07-18;555000
2012-07-19;551000
2012-07-20;554000
2012-07-23;554000
2012-07-24;554000
2012-07-25;555000
2012-07-26;560000
2012-07-27;564000
2012-07-30;565000
2012-07-31;565000
2012-08-01;562000
2012-08-02;561000
2012-08-03;559000
2012-08-06;562000
2012-08-07;563000
2012-08-08;563000
2012-08-09;563000
2012-08-10;562000
2012-08-13;563000
2012-08-14;560000
2012-08-15;558000
2012-08-16;558000
2012-08-23;570000
2012-08-24;574000
2012-08-27;575500
2012-08-28;572000
2012-08-29;572500
2012-08-30;570000
2012-08-31;571000
2012-09-03;581000
2012-09-04;583000
2012-09-05;583000
2012-09-06;583000
2012-09-07;584000
2012-09-10;599000
2012-09-11;596000
2012-09-12;596000
2012-09-13;595200
2012-09-14;607200
2012-09-17;608200
2012-09-18;596200
2012-09-19;601200
2012-09-20;605200
2012-09-21;604200
2012-09-24;604200
2012-09-25;604200
2012-09-26;604200
2012-09-27;604200
2012-09-28;610200
2012-10-01;605200
2012-10-02;609200
2012-10-03;607200
2012-10-04;609200
2012-10-05;614200
2012-10-08;610200
2012-10-09;609200
2012-10-10;606200
2012-10-11;606200
2012-10-12;609200
2012-10-15;603200
2012-10-16;603200
2012-10-17;606200
2012-10-18;604200
2012-10-19;601200
2012-10-22;594200
2012-10-22;598200
2012-10-23;600200
2012-10-24;596200
